Watching for file changes with StatReloader
[13/Jan/2026 21:43:56] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[13/Jan/2026 21:43:56] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
[13/Jan/2026 21:43:56] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
[13/Jan/2026 21:44:02] "GET /admin/dashboard/auditoriavts/ HTTP/1.1" 200 16349
[13/Jan/2026 21:44:02] "GET /static/admin/css/changelists.css HTTP/1.1" 200 7501
[13/Jan/2026 21:44:02] "GET /static/dashboard/css/admin_custom.css HTTP/1.1" 200 336
[13/Jan/2026 21:44:02] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[13/Jan/2026 21:44:02] "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[13/Jan/2026 21:44:02] "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
[13/Jan/2026 21:44:02] "GET /static/admin/js/core.js HTTP/1.1" 200 6208
[13/Jan/2026 21:44:02] "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
[13/Jan/2026 21:44:02] "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[13/Jan/2026 21:44:02] "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[13/Jan/2026 21:44:02] "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[13/Jan/2026 21:44:02] "GET /static/admin/img/search.svg HTTP/1.1" 200 607
[13/Jan/2026 21:44:03] "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
[13/Jan/2026 21:44:03] "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[13/Jan/2026 21:44:03] "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 593
[13/Jan/2026 21:44:03] "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 928
[13/Jan/2026 21:44:08] "GET /admin/dashboard/auditoriavts/add/ HTTP/1.1" 200 15382
[13/Jan/2026 21:44:08] "GET /static/admin/css/forms.css HTTP/1.1" 200 8844
[13/Jan/2026 21:44:08] "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[13/Jan/2026 21:44:08] "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[13/Jan/2026 21:44:08] "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
[13/Jan/2026 21:44:08] "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[13/Jan/2026 21:45:30] "POST /admin/dashboard/auditoriavts/add/ HTTP/1.1" 302 0
