Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
COLGATE Cepillo Adulto cerda media,,,,,,,,,,,500,,No,19.00,No,,No,,,each.each,Yes,11,,V-CPE-003,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,COLGATE Cepillo Adulto cerda media,,,,,,,
COLGATE Dentrifico Triple accion Menta 75ml,,,,,,,,,,,1250,,No,19.00,No,,No,,,each.each,Yes,12,,V-CPE-002,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,COLGATE Dentrifico Triple accion Menta 75ml,,,,,,,
DOVE Desodorante Variedades 45g,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,DOVE Desodorante Variedades 45g,,,,,,,
,Dama Aclarante,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-MAcl,,,,,,,,,,,,,,,,,,,,,,
,Dama Original,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-MOri,,,,,,,,,,,,,,,,,,,,,,
,Dama Tono Uniforme,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-MTUn,,,,,,,,,,,,,,,,,,,,,,
,Varon Cremoso Confort Protection,,,,,,,,,Yes,2800,,,,,,,,,,Yes,2,,V-CPE-001-HCre,,,,,,,,,,,,,,,,,,,,,,
,Varon Cremoso Energy Boost,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-HEnB,,,,,,,,,,,,,,,,,,,,,,
DOVE Jabon de Tocador 75g,,,,,,,,,,,1100,,No,19.00,No,,No,,,each.each,Yes,1,,V-CPE-004,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,DOVE Jabon de Tocador 75g,,,,,,,
ELITE Pañuelos Triple Hoja 10 Un,,,,,,,,,,,200,,No,19.00,No,,No,,,each.each,Yes,14,,V-CPE-007,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,ELITE Pañuelos Triple Hoja 10 Un,,,,,,,
LUX Jabon de tocador Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,LUX Jabon de tocador Variedades,,,,,,,
,Azul Aqua Sparkle,,,,,,,,,Yes,450,,,,,,,,,,Yes,1,,V-CPE-005-Azul,,,,,,,,,,,,,,,,,,,,,,
,Blanco Velvet Touch,,,,,,,,,Yes,450,,,,,,,,,,Yes,1,,V-CPE-005-Blan,,,,,,,,,,,,,,,,,,,,,,
,Granada 70 gms,,,,,,,,,Yes,450,,,,,,,,,,Yes,4,,V-CPE-005-Rosa,,,,,,,,,,,,,,,,,,,,,,
,Violeta Magical Spell,,,,,,,,,Yes,450,,,,,,,,,,Yes,1,,V-CPE-005-Viol,,,,,,,,,,,,,,,,,,,,,,
PROTEX Jabon de Tocador Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,PROTEX Jabon de Tocador Variedades,,,,,,,
,Aloe Vera 125g,,,,,,,,,Yes,950,,,,,,,,,,Yes,3,,V-CPE-006-Aloe,,,,,,,,,,,,,,,,,,,,,,
,Avena 85g,,,,,,,,,Yes,800,,,,,,,,,,Yes,1,,V-CPE-006-Aven,,,,,,,,,,,,,,,,,,,,,,
,Glicerina Nutri Protect 125g,,,,,,,,,Yes,950,,,,,,,,,,Yes,8,,V-CPE-006-Glic,,,,,,,,,,,,,,,,,,,,,,
Audifono BT P9,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Electronica,Yes,Light red,,,,,,,,Yes,Audifono BT P9,,,,,,,
,Negro,,,,,,,,,Yes,5000,,,,,,,,,,Yes,1,,V-ELE-002-Negr,,,,,,,,,,,,,,,,,,,,,,
,Rojo,,,,,,,,,Yes,5000,,,,,,,,,,Yes,1,,V-ELE-002-Rojo,,,,,,,,,,,,,,,,,,,,,,
Audifonos BT Pro5S,,,,,,,,,,,8000,,No,19.00,No,,No,,,each.each,Yes,2,,V-ELE-003,,,,Electronica,Yes,Light red,,,,,,,,Yes,Audifonos BT Pro5S,,,,,,,
Set Luces de emergencia + Control Remoto,,,,,,,,,,,8000,,No,19.00,No,,No,,,each.each,Yes,3,,V-ELE-004,,,,Electronica,Yes,Light red,,,,,,,,Yes,Set Luces de emergencia + Control Remoto,,,,,,,
EVEREADY Ampolleta LED Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Ferreteria,Yes,Light green,,,,,,,,Yes,EVEREADY Ampolleta LED Variedades,,,,,,,
,45w,,,,,,,,,Yes,1000,,,,,,,,,,Yes,0,,V-FER-001-045w,,,,,,,,,,,,,,,,,,,,,,
ETO Lapiz pasta punta gruesa,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,ETO Lapiz pasta punta gruesa,,,,,,,
,Azul,,,,,,,,,Yes,100,,,,,,,,,,Yes,47,,V-LIB-012-Azul,,,,,,,,,,,,,,,,,,,,,,
,Negro,,,,,,,,,Yes,100,,,,,,,,,,Yes,50,,V-LIB-012-Negr,,,,,,,,,,,,,,,,,,,,,,
FABER CASTELL Lapis grafito hexagonal HB,,,,,,,,,,,150,,No,19.00,No,,No,,,each.each,Yes,24,,V-LIB-011,,,,Libreria,Yes,Orange,,,,,,,,Yes,FABER CASTELL Lapis grafito hexagonal HB,,,,,,,
FACTIS Pack goma miga 2 un,,,,,,,,,,,2000,,No,19.00,No,,No,,,each.each,Yes,1,,V-LIB-010,,,,Libreria,Yes,Orange,,,,,,,,Yes,FACTIS Pack goma miga 2 un,,,,,,,
FACTIS Sucedaneo Goma de borrar miga S20,,,,,,,,,,,300,,No,19.00,No,,No,,,each.each,Yes,20,,V-LIB-009,,,,Libreria,Yes,Orange,,,,,,,,Yes,FACTIS Sucedaneo Goma de borrar miga S20,,,,,,,
FEMU Papel Lustre Surtido,,,,,,,,,,,600,,No,19.00,No,,No,,,each.each,Yes,6,,V-LIB-020,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Papel Lustre Surtido,,,,,,,
FEMU Pegamento en Barra 21 grs,,,,,,,,,,,700,,No,19.00,No,,No,,,each.each,Yes,12,,V-LIB-014,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Pegamento en Barra 21 grs,,,,,,,
FEMU Sacapuntas con deposito Colores,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Sacapuntas con deposito Colores,,,,,,,
,Amarillo,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Amar,,,,,,,,,,,,,,,,,,,,,,
,Azul,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Azul,,,,,,,,,,,,,,,,,,,,,,
,Rojo,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Rojo,,,,,,,,,,,,,,,,,,,,,,
,Verde,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Verd,,,,,,,,,,,,,,,,,,,,,,
MEIPAI Caja Lapices Colores Hexagonales 12+2 un,,,,,,,,,,,1500,,No,19.00,No,,No,,,each.each,Yes,3,,V-LIB-004,,,,Libreria,Yes,Orange,,,,,,,,Yes,MEIPAI Caja Lapices Colores Hexagonales 12+2 un,,,,,,,
