Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
BRIK’S Lavaloza concentrado 1L,,,,,,,,,,,1250,,No,19.00,No,,No,,,each.each,Yes,11,,V-LIM-020,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_7YWCA0RTJK8FF8WDC5B6Q8Z96N,,,,,,,Yes,BRIK’S Lavaloza concentrado 1L,,,,,,135e62b9-5d13-4d43-9cd1-669ab7fe9261,
BRIK’S Suavizante 5L,,,,,,,,,,,3900,,No,19.00,No,,No,,,each.each,Yes,2,,V-LIM-028,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_65DSF4W8AA9H2BQMQN9HJM6CQ8,,,,,,,Yes,BRIK’S Suavizante 5L,,,,,,9e8c12ac-0e1e-41c0-961f-c0b0112e9931,
Brik's Detergente Variedades 5L,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,Brik's Detergente Variedades 5L,,,,,,,
,Amarillo 4 en 1,,,,,,,,,Yes,3500,,,,,,,,,,Yes,0,,V-LIM-027-Amar,,,,,,,https://images.sumup.com/img_2BQNQ8GG6V929VQNHJ12TX15YP,,,,,,,,,,,,,,,
,Blanco Sin colorantes,,,,,,,,,Yes,3500,,,,,,,,,,Yes,2,,V-LIM-027-Blan,,,,,,,https://images.sumup.com/img_3FCXGYE8TH9S6VF3Y6CD07N94W,,,,,,,,,,,,,,,
,Celeste Desmanchador,,,,,,,,,Yes,3500,,,,,,,,,,Yes,0,,V-LIM-027-Cele,,,,,,,https://images.sumup.com/img_3WTD4EDVSM82TTXCDN5WTD3BN2,,,,,,,,,,,,,,,
,Coral Delicado,,,,,,,,,Yes,3500,,,,,,,,,,Yes,2,,V-LIM-027-Cora,,,,,,,https://images.sumup.com/img_06E26863KW9FTSVPCYX87JC4KD,,,,,,,,,,,,,,,
,Violeta Lavanda,,,,,,,,,Yes,3500,,,,,,,,,,Yes,0,,V-LIM-027-Viol,,,,,,,https://images.sumup.com/img_333DV44BBM97ET6FVSYPTQKEQ4,,,,,,,,,,,,,,,
CONFORT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,,2400,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-025,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_0J1HYM58Y18TB8NH09Q5PDBS1R,,,,,,,Yes,CONFORT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,c5eb3407-d4a9-4b61-8de8-d4f1532efd83,
ELITE Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,,2650,,No,19.00,No,,No,,,each.each,Yes,4,,V-LIM-003,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_5722GH6FW68YDSPQPNJ0FASFA2,,,,,,,Yes,ELITE Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,81a9a074-b9a9-40d9-9c39-012d9144411f,
FLORAX Papel Higiénico Doble Hoja 4 x 50 mt,,,,,,,,,,,2300,,No,19.00,No,,No,,,each.each,Yes,6,,V-LIM-035,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_2R4S63QFQJ820997AHQGAQ0AVH,,,,,,,Yes,FLORAX Papel Higiénico Doble Hoja 4 x 50 mt,,,,,,be22abc5-1d7d-4d34-ad15-79a8df0937eb,
HUANG JIAN Betún Líquido Zapatos 80ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,HUANG JIAN Betún Líquido Zapatos 80ml,,,,,,,
,Blanco,,,,,,,,,Yes,1000,,,,,,,,,,Yes,0,,V-LIM-008-Blan,,,,,,,,,,,,,,,,,,,,,,
,Negro,,,,,,,,,Yes,1000,,,,,,,,,,Yes,3,,V-LIM-008-Negr,,,,,,,https://images.sumup.com/img_1EZRCKBR0M82MS48Z967598R8M,,,,,,,,,,,,,,,
IGENIX Cloro Gel Variedades Botella 900 ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_6Q785FBSSZ9EM8T6T9DYK8YZ96,https://images.sumup.com/img_65XRB8181J9SKSPEP1FQKY5A38,,,,,,Yes,IGENIX Cloro Gel Variedades Botella 900 ml,,,,,,07fceac1-809f-4e76-bc8c-510a5c3bfff3,
,Floral,,,,,,,,,Yes,1500,,,,,,,,,,Yes,4,,V-LIM-032-Flor,,,,,,,,,,,,,,,,,,,,,,b30f1df6-27a6-40ad-9fde-59ebf86e3236
,Lavanda,,,,,,,,,Yes,1500,,,,,,,,,,Yes,0,,V-LIM-032-Lava,,,,,,,,,,,,,,,,,,,,,,59d81695-b406-49c5-9c4f-fe1ceefda5c3
IGENIX Cloro liquido Tradicional 1L,,,,,,,,,,,1150,,No,19.00,No,,No,,,each.each,Yes,25,,V-LIM-038,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IGENIX Cloro liquido Tradicional 1L,,,,,,8fbaa7a7-79ba-4e35-9466-14e26f4c05ba,
IGENIX Desinfectante Aerosol Variedades Botella 900 ml,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,IGENIX Desinfectante Aerosol Variedades Botella 900 ml,,,,,,a9319f0a-68de-4316-9f4b-74f93e6abd7e,
,Lavanda,,,,,,,,,Yes,2500,,,,,,,,,,Yes,3,,V-LIM-039-Lava,,,,,,,,,,,,,,,,,,,,,,
IO Acondicionador Variedades 1L,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,11,,V-LIM-015,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_2SAHKEY0PH979V5NG1RM168B37,,,,,,,Yes,IO Acondicionador Variedades 1L,,,,,,821f7be6-40bb-4e22-af54-15903ecef7b4,
IO Jabon Liquido Avena & Almendras 1L,,,,,,,,,,,1400,,No,19.00,No,,No,,,each.each,Yes,2,,V-LIM-016,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_00XZC9N3H79ZFTJPHCS1PYQ215,,,,,,,Yes,IO Jabon Liquido Avena & Almendras 1L,,,,,,4285e1d8-d0cc-4fe7-ac5f-d8cee635fbbf,
IO Shampoo Variedades 1L,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,9,,V-LIM-014,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_7N1FYZ30DC8SRACPB734WWRRTG,,,,,,,Yes,IO Shampoo Variedades 1L,,,,,,0e6c09b5-e2fa-4808-857e-95f5173145a6,
LEZI Antigrasa gatillo 350ml,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-011,,,,Limpieza,Yes,Pink,,,,,,,,Yes,LEZI Antigrasa gatillo 350ml,,,,,,5bd27725-07d6-4c7a-9a23-cdde9cbe8ce5,
MANIAC Set 3 Esponjas Metalicas Doradas,,,,,,,,,,,1500,,No,19.00,No,,No,,,each.each,Yes,9,,V-LIM-033,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_5VS7TX0G0490HBZDW837GY2M9G,,,,,,,Yes,MANIAC Set 3 Esponjas Metalicas Doradas,,,,,,7b232810-2edb-42e4-b7ad-5065f39466ba,
NOE Limpiador en Crema,,,,,,,,,,,1450,,No,19.00,No,,No,,,each.each,Yes,5,,V-LIM-037,,,,Limpieza,Yes,Pink,,,,,,,,Yes,NOE Limpiador en Crema,,,,,,3a647d36-4f99-450c-97de-445898e71e2a,
NOE Servilletas 23 x 22 cms 300 un,,,,,,,,,,,1050,,No,19.00,No,,No,,,each.each,Yes,1,,V-LIM-013,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_0F7DVST0Z99FQ9MZBGTXB9ZM0P,,,,,,,Yes,NOE Servilletas 23 x 22 cms 300 un,,,,,,ba7902d8-d57f-48c3-a216-8dacb79107f9,
OVELLA Toalla Papel XL una Hoja Ultra 80 mt,,,,,,,,,,,2000,,No,19.00,No,,No,,,each.each,Yes,10,,V-LIM-004,,,,Limpieza,Yes,Pink,,,,,,,,Yes,OVELLA Toalla Papel XL una Hoja Ultra 80 mt,,,,,,5e29deff-82e1-4a09-80c8-3309ab9ef59f,
POPEYE Detergente en Barra 170 gms,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,4,,V-LIM-018,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_2763D6PPWF9G88CH19WDNG34CH,,,,,,,Yes,POPEYE Detergente en Barra 170 gms,,,,,,10f76c5e-74f4-45bb-8d6d-f3bed3d5bf29,
SCOTT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,,2300,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-024,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_3F2S7VQSD592RBQ590CNC5WKG5,,,,,,,Yes,SCOTT Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,b82760fd-6ae2-4382-a643-74e11d9cf280,
SOFT Suavizante Clasic refill 900 mL,,,,,,,,,,,1200,,No,19.00,No,,No,,,each.each,Yes,2,,V-LIM-034,,,,Limpieza,Yes,Pink,,,,,,,,Yes,SOFT Suavizante Clasic refill 900 mL,,,,,,00c26491-2438-4031-ae10-300e2451d7db,
Servilleta Papel Navideña,,,,,,,,,,,800,,No,19.00,No,,No,,,each.each,Yes,3,,V-LIM-006,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_51XTTBW0C48J1VGGHBJX5VFTZK,,,,,,,Yes,Servilleta Papel Navideña,,,,,,b882ba41-0747-46b7-8c7d-e1838a7dfd9d,
TORK Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,,,,,,2500,,No,19.00,No,,No,,,each.each,Yes,0,,V-LIM-029,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_1WNS57Z3VA9379WR0E5T4NQGDG,,,,,,,Yes,TORK Papel Higiénico Doble Hoja Ultra 4 x 50 mt,,,,,,14ee91a3-4cf5-455d-a50f-1abb878ee364,
TORK Toalla Papel Doble Hoja 2 x 24 mt,,,,,,,,,,,1600,,No,19.00,No,,No,,,each.each,Yes,7,,V-LIM-010,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_558GFX4HN69EC9XJHJQ1D8FFS5,,,,,,,Yes,TORK Toalla Papel Doble Hoja 2 x 24 mt,,,,,,1e4fe66e-2f7a-404d-8888-68e18474a611,
Toallitas Humedas desechables,,,,,,,,,,,1000,,No,19.00,No,,No,,,each.each,Yes,3,,V-LIM-002,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_7WGQ08RQJ38PFRAZ59XKKQC6NV,,,,,,,Yes,Toallitas Humedas desechables,,,,,,b64268b1-a6a1-4e87-8dde-12bcdcfa9d6a,
V-STORE Esponja de Cocina Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Limpieza,Yes,Pink,,,,,,,,Yes,V-STORE Esponja de Cocina Variedades,,,,,,31ff1d5f-74e8-49bf-b1ff-718d86881b95,
,Esponja Acanalada,,,,,,,,,Yes,200,,,,,,,,,,Yes,0,,V-LIM-026-Acan,,,,,,,,,,,,,,,,,,,,,,a83306fc-3ac9-4241-94cb-82fa6ef8b071
,Esponja Lisa,,,,,,,,,Yes,200,,,,,,,,,,Yes,5,,V-LIM-026-Lisa,,,,,,,,,,,,,,,,,,,,,,918e26fa-bba2-4e61-8bfc-b6b134a119af
V-STORE Pastillas de limpieza para lavadora,,,,,,,,,,,2000,,No,19.00,No,,No,,,each.each,Yes,5,,V-LIM-007,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_2ME5X1BFYK9ER8X9R9V13X8PK8,,,,,,,Yes,V-STORE Pastillas de limpieza para lavadora,,,,,,b4756415-63a6-4619-923c-8796d1cc961c,
V-STORE Toallitas Antigrasa 80 u,,,,,,,,,,,1400,,No,19.00,No,,No,,,each.each,Yes,4,,V-LIM-031,,,,Limpieza,Yes,Pink,https://images.sumup.com/img_4F2M07H3YT9GJ817F0C06TV6PQ,,,,,,,Yes,V-STORE Toallitas Antigrasa 80 u,,,,,,87838879-5965-42f2-838a-247c9c43a7f4,
V-STORE Set taza ceramica 3pz oso,,,,,,,,,,,5000,,No,19.00,No,,No,,,each.each,Yes,3,,V-MEN-001,,,,Menaje,Yes,Dark red,https://images.sumup.com/img_0PTTJ0DV149HT9R9RM5YFAEWQS,https://images.sumup.com/img_7W5WMWHGWJ9Z3TFAS6V0DXRSDN,,,,,,Yes,V-STORE Set taza ceramica 3pz oso,,,,,,358e031b-d66b-48ba-a21b-a6951463d447,
