Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Cost price,Variable price? (Yes/No),Tax rate (%),On sale in Online Store?,Regular price (before sale),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display item at Checkout? (Yes/No),Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Display service in Bookings? (Yes/No),Duration [minutes] (Bookings only),Location [business/customer] (Bookings only),Item id (Do not change),Variant id (Do not change)
,Avena Chocolate,,,,,,,,,Yes,950,,,,,,,,,,Yes,1,,V-COL-005-AvCh,,,,,,,,,,,,,,,,,,,,,,70277ebd-1827-4981-bb20-7de6c20093d7
,Avena Semillas,,,,,,,,,Yes,950,,,,,,,,,,Yes,1,,V-COL-005-AvSe,,,,,,,,,,,,,,,,,,,,,,0655e435-7c07-4c4e-827b-f80c8fcbff7c
MIZOS Galletas de arroz integral 20g,,,,,,,,,,,600,,No,19.00,No,,No,,,each.each,Yes,13,,V-COL-008,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_2P8X11G0Z18EHTZZ7V2RV3AGVK,,,,,,,Yes,MIZOS Galletas de arroz integral 20g,,,,,,b1e5650d-faf5-46d3-a904-51a0f58860d3,
Nestle Chocapic 30g,,,,,,,,,,,550,,No,19.00,No,,No,,,each.each,Yes,2,,V-COL-007,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_5EX5DAEM4F9A4VF9P7RD02QBWV,,,,,,,Yes,Nestle Chocapic 30g,,,,,,2ff2326a-dbb4-4d55-8d88-bc02444af1ba,
SMILEY KIDS Compota Manzana/Pera 100g,,,,,,,,,,,350,,No,19.00,No,,No,,,each.each,Yes,8,,V-COL-002,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_1M2WPAVWNQ82DRBPVNDK0480ZT,,,,,,,Yes,SMILEY KIDS Compota Manzana/Pera 100g,,,,,,09d65981-3ff7-44d6-8cea-5ee18e4be151,
TIA LIA Snackbar Cranberry,,,,,,,,,,,200,,No,19.00,No,,No,,,each.each,Yes,0,,V-COL-003,,,,Colaciones,Yes,Light blue,,,,,,,,Yes,TIA LIA Snackbar Cranberry,,,,,,a67363ca-9381-4fad-b17a-b5788a817df2,
WATTS Jugo 100% Fruta,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Colaciones,Yes,Light blue,https://images.sumup.com/img_1QHF6YC50Q84GVEK7DY4YW05RJ,,,,,,,Yes,WATTS Jugo 100% Fruta,,,,,,83b5deea-c950-4c68-b4c0-7e3842d06d6d,
,Naranja,,,,,,,,,Yes,550,,,,,,,,,,Yes,5,,V-COL-006-Nara,,,,,,,,,,,,,,,,,,,,,,cc6dc29b-0ae8-443d-9850-bdec6838be9c
,Naranja-Manzana,,,,,,,,,Yes,550,,,,,,,,,,Yes,3,,V-COL-006-NaMa,,,,,,,,,,,,,,,,,,,,,,85be7db9-255b-493c-9b0b-31ec828c876e
COLGATE Cepillo Adulto cerda media,,,,,,,,,,,500,,No,19.00,No,,No,,,each.each,Yes,11,,V-CPE-003,,,,Cuidado Personal,Yes,Dark green,https://images.sumup.com/img_215XVS81BR8FZBFSK3K32693H4,,,,,,,Yes,COLGATE Cepillo Adulto cerda media,,,,,,bd9ee15b-302a-4fcd-9aab-def5ffdc088c,
COLGATE Dentrifico Triple accion Menta 75ml,,,,,,,,,,,1250,,No,19.00,No,,No,,,each.each,Yes,12,,V-CPE-002,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,COLGATE Dentrifico Triple accion Menta 75ml,,,,,,e148073e-971c-41a1-bf74-4759a1117053,
DOVE Desodorante Variedades 45g,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Cuidado Personal,Yes,Dark green,https://images.sumup.com/img_711C6G34B094HS42FC9MJXYXMF,https://images.sumup.com/img_05D61HMD4J83JS9FCYZZ7082QH,https://images.sumup.com/img_0YRXMARCCY9CRTB0PWQPVTAHVN,,,,,Yes,DOVE Desodorante Variedades 45g,,,,,,9c52ef68-5006-4d3c-9804-631d28a09da3,
,Dama Aclarante,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-MAcl,,,,,,,https://images.sumup.com/img_0N47BMFWA9915B3E4J1TMNK4CR,,,,,,,,,,,,,,,7e38127e-a442-4349-8097-cc391050a77d
,Dama Original,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-MOri,,,,,,,https://images.sumup.com/img_75WV0MA34C8WSAVZH8PTCRNK16,,,,,,,,,,,,,,,d0a8c99c-178e-4984-8fc7-54fd0112b0f6
,Dama Tono Uniforme,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-MTUn,,,,,,,,,,,,,,,,,,,,,,a4d1bcaf-c6e2-425d-a0e3-e9ab881db592
,Varon Cremoso Confort Protection,,,,,,,,,Yes,2800,,,,,,,,,,Yes,2,,V-CPE-001-HCre,,,,,,,https://images.sumup.com/img_78P2ATTX5D90WTV0X3WDV1QJF4,,,,,,,,,,,,,,,c84ac189-b64c-437a-b606-c8f8b13557f5
,Varon Cremoso Energy Boost,,,,,,,,,Yes,2800,,,,,,,,,,Yes,1,,V-CPE-001-HEnB,,,,,,,,,,,,,,,,,,,,,,84fd420a-05df-4f6b-b813-fbe096ec678e
DOVE Jabon de Tocador 75g,,,,,,,,,,,1100,,No,19.00,No,,No,,,each.each,Yes,1,,V-CPE-004,,,,Cuidado Personal,Yes,Dark green,https://images.sumup.com/img_4M3VBN4A3C85Q9KAYJ670HFGE4,,,,,,,Yes,DOVE Jabon de Tocador 75g,,,,,,bbda8f16-0c25-4f65-b54c-c800bc69e7a0,
ELITE Pañuelos Triple Hoja 10 Un,,,,,,,,,,,200,,No,19.00,No,,No,,,each.each,Yes,14,,V-CPE-007,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,ELITE Pañuelos Triple Hoja 10 Un,,,,,,42886924-3807-462f-ab4e-4946201f02b7,
LUX Jabon de tocador 70g Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,LUX Jabon de tocador 70g Variedades,,,,,,,
,Azul Aqua Sparkle,,,,,,,,,Yes,450,,,,,,,,,,Yes,1,,V-CPE-005-Azul,,,,,,,,,,,,,,,,,,,,,,
,Blanco Velvet Touch,,,,,,,,,Yes,450,,,,,,,,,,Yes,1,,V-CPE-005-Blan,,,,,,,,,,,,,,,,,,,,,,
,Granada 70 gms,,,,,,,,,Yes,450,,,,,,,,,,Yes,4,,V-CPE-005-Rosa,,,,,,,,,,,,,,,,,,,,,,
,Violeta Magical Spell,,,,,,,,,Yes,450,,,,,,,,,,Yes,1,,V-CPE-005-Viol,,,,,,,,,,,,,,,,,,,,,,
PROTEX Jabon de tocador Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Cuidado Personal,Yes,Dark green,,,,,,,,Yes,PROTEX Jabon de tocador Variedades,,,,,,,
,Aloe Vera 125g,,,,,,,,,Yes,950,,,,,,,,,,Yes,3,,V-CPE-006-Aloe,,,,,,,,,,,,,,,,,,,,,,
,Avena 85g,,,,,,,,,Yes,800,,,,,,,,,,Yes,1,,V-CPE-006-Aven,,,,,,,,,,,,,,,,,,,,,,
,Glicerina Nutri Protect 125g,,,,,,,,,Yes,950,,,,,,,,,,Yes,8,,V-CPE-006-Glic,,,,,,,,,,,,,,,,,,,,,,
Audifonos BT Pro5S,,,,,,,,,,,8000,,No,19.00,No,,No,,,each.each,Yes,2,,V-ELE-003,,,,Electronica,Yes,Light red,,,,,,,,Yes,Audifonos BT Pro5S,,,,,,a2fbb191-438a-4a8a-a0c5-c18245435a8f,
Audifonos Headset BT P9,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Electronica,Yes,Light red,,,,,,,,Yes,Audifonos Headset BT P9,,,,,,,
,Negro,,,,,,,,,Yes,5000,,,,,,,,,,Yes,1,,V-ELE-002-Negr,,,,,,,,,,,,,,,,,,,,,,
,Rojo,,,,,,,,,Yes,5000,,,,,,,,,,Yes,1,,V-ELE-002-Rojo,,,,,,,,,,,,,,,,,,,,,,
Set Luces de emergencia + Control Remoto,,,,,,,,,,,8000,,No,19.00,No,,No,,,each.each,Yes,3,,V-ELE-004,,,,Electronica,Yes,Light red,https://images.sumup.com/img_64KWMHW9D18ZD8BYTYVHTXJ1H0,,,,,,,Yes,Set Luces de emergencia + Control Remoto,,,,,,e89b383b-dcab-42fe-969c-59ad6c9e1a36,
EVEREADY Ampolleta LED Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Ferreteria,Yes,Light green,https://images.sumup.com/img_109079MCHV8ZJRFK2DSR4CG9AS,,,,,,,Yes,EVEREADY Ampolleta LED Variedades,,,,,,c249fbab-e50d-480a-8ef2-915d5e97d21e,
,45w,,,,,,,,,Yes,1000,,,,,,,,,,Yes,0,,V-FER-001-045w,,,,,,,,,,,,,,,,,,,,,,
ETO Lapiz pasta punta gruesa,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,ETO Lapiz pasta punta gruesa,,,,,,51f340cc-5c5e-493c-b523-50c56ef96c5a,
,Azul,,,,,,,,,Yes,100,,,,,,,,,,Yes,47,,V-LIB-012-Azul,,,,,,,,,,,,,,,,,,,,,,a383cb68-1380-4aa7-bd07-17e46a76f07d
,Negro,,,,,,,,,Yes,100,,,,,,,,,,Yes,50,,V-LIB-012-Negr,,,,,,,,,,,,,,,,,,,,,,4eb3204b-bd74-498c-9011-f4bfc570c41e
FABER CASTELL Lapis grafito hexagonal HB,,,,,,,,,,,150,,No,19.00,No,,No,,,each.each,Yes,24,,V-LIB-011,,,,Libreria,Yes,Orange,,,,,,,,Yes,FABER CASTELL Lapis grafito hexagonal HB,,,,,,4415d5bf-69cb-4087-8cb9-c9b2e0d78e56,
FACTIS Pack goma miga 2 un,,,,,,,,,,,2000,,No,19.00,No,,No,,,each.each,Yes,1,,V-LIB-010,,,,Libreria,Yes,Orange,,,,,,,,Yes,FACTIS Pack goma miga 2 un,,,,,,bcec4eb5-29b4-4ed8-ade3-ed468e835e04,
FACTIS Sucedaneo Goma de borrar miga S20,,,,,,,,,,,300,,No,19.00,No,,No,,,each.each,Yes,20,,V-LIB-009,,,,Libreria,Yes,Orange,https://images.sumup.com/img_7KDDB0J8W68FYAFMT956D1N4MN,,,,,,,Yes,FACTIS Sucedaneo Goma de borrar miga S20,,,,,,66c085c7-bd9b-409b-adad-ff9629ea2898,
FEMU Papel Lustre Surtido,,,,,,,,,,,600,,No,19.00,No,,No,,,each.each,Yes,6,,V-LIB-020,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Papel Lustre Surtido,,,,,,02c3d6a6-428d-4eda-8de2-97e48151fb16,
FEMU Pegamento en Barra 21 grs,,,,,,,,,,,700,,No,19.00,No,,No,,,each.each,Yes,12,,V-LIB-014,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Pegamento en Barra 21 grs,,,,,,c12c38df-cf35-466c-a9b3-178487e33813,
FEMU Sacapuntas con deposito,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,FEMU Sacapuntas con deposito,,,,,,,
,Amarillo,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Amar,,,,,,,,,,,,,,,,,,,,,,
,Azul,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Azul,,,,,,,,,,,,,,,,,,,,,,
,Rojo,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Rojo,,,,,,,,,,,,,,,,,,,,,,
,Verde,,,,,,,,,Yes,700,,,,,,,,,,Yes,3,,V-LIB-015-Verd,,,,,,,,,,,,,,,,,,,,,,
MEIPAI Caja Lapices Colores Hexagonales 12+2 un,,,,,,,,,,,1500,,No,19.00,No,,No,,,each.each,Yes,3,,V-LIB-004,,,,Libreria,Yes,Orange,https://images.sumup.com/img_1GD95DEPX796FBNEYWX7232TVW,,,,,,,Yes,MEIPAI Caja Lapices Colores Hexagonales 12+2 un,,,,,,b2b242c3-1b25-404a-a8ee-9592c6663fb4,
OFFICE TREND Destacadores pastel Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,OFFICE TREND Destacadores pastel Variedades,,,,,,,
,Amarillo Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,3,,V-LIB-005-Amar,,,,,,,,,,,,,,,,,,,,,,
,Durazno Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,2,,V-LIB-005-Dura,,,,,,,,,,,,,,,,,,,,,,
,Morado Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,2,,V-LIB-005-Mora,,,,,,,,,,,,,,,,,,,,,,
,Verde Pastel,,,,,,,,,Yes,500,,,,,,,,,,Yes,2,,V-LIB-005-Verd,,,,,,,,,,,,,,,,,,,,,,
OMSO Plumon Pizarra Variedades,,,,,,,,,,,,,No,19.00,No,,No,,,each.each,No,,,,,,,Libreria,Yes,Orange,,,,,,,,Yes,OMSO Plumon Pizarra Variedades,,,,,,9afbc6e1-3996-45d9-9055-a3adccb8038a,
,Azul,,,,,,,,,Yes,300,,,,,,,,,,Yes,12,,V-LIB-008-Azul,,,,,,,,,,,,,,,,,,,,,,3a37a3c0-d440-40a3-8964-e4f1dce455c4
